URL,Ubicación,Precio ARS,Precio USD,Expensas,Sup. cubierta [m²],Dormitorios,Baños,Ambientes,Cocheras,Sup. terreno [m²],Antiguedad [años],Estado
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--14345284,Vuelta de Obligado 1400,,600.0,21500.0,79.0,2.0,1.0,3.0,,,70.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-martinez-vias-libertador-5-ambientes--12744759,Las Heras  al 2300,,4200.0,,280.0,3.0,3.0,5.0,1.0,430.0,40.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-san-isidro-labrador-1-ambiente--14424728,Jacinto DÍaz 100,180000.0,163.63636363636363,,28.0,,1.0,0.0,,,35.0,Excelente
https://www.argenprop.com/casa-en-alquiler-en-countries-y-barrios-cerrados-en-pilar-5-ambientes--9369780,Casa en venta y alquiler anual en Highland Park,,2500.0,,300.0,4.0,3.0,5.0,2.0,2.0,14.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--12947728,Villanueva  1200,,3000.0,,280.0,3.0,3.0,4.0,1.0,,,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--14369447,Avenida Cabildo 1500,,500.0,28000.0,44.0,1.0,1.0,2.0,1.0,,8.0,Bueno
https://www.argenprop.com/terreno-en-alquiler-en-granadero-baigorria-1-ambiente--12040614,Av. San Martín 2409,180000.0,163.63636363636363,,,,1.0,,,,,Bueno
https://www.argenprop.com/casa-en-alquiler-en-nordelta-carpinchos-5-ambientes--13348250,carpinchos,,3000.0,,256.0,4.0,3.0,5.0,,615.0,0.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--14306116,GUIDO 1900,,800.0,100.0,39.0,,1.0,0.0,,,1.0,Excelente
https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--14379616,Guatemala al 5800,,600.0,,36.0,1.0,1.0,2.0,,,7.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-3-ambientes--14368605,Av. Congreso al 2300,,1100.0,30000.0,98.0,2.0,2.0,3.0,1.0,,0.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-nordelta-3-ambientes--14210132,Miradores de la bahia,,2000.0,115000.0,104.0,2.0,2.0,3.0,,,10.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-san-isidro-2-ambientes--13743520,Saen Peña Pres Roque  al 100 MUY LUMINOSO !!!!!!!!!,,540.0,36000.0,47.0,1.0,1.0,2.0,1.0,,10.0,Bueno
