URL,Ubicación,Precio ARS,Precio USD,Sup. cubierta,Dormitorios,Antigüedad,Baños,Ambientes,Cocheras,Toilettes,Sup. terreno,Expensas,Estado,Disposición,Orientación,Tipo de local,Sup. total,Plantas,En Edificio,Antiguedad,Apto profesional,Seguridad,Permite mascota,Tipo de Baño,Longitud del frente,Longitud del fondo,Superficie Total,Sup. descubierta,Longitud del Frente,Longitud del Fondo,Habitaciones,FOT,Altura Techo,Agua corriente,Tipo de cochera,Tipo de cobertura,Tipo de acceso,Tipo de Terreno,Sup. Total,Tipo de coche,Galería/Shopping,Toilletes,Superficie cubierta,Descripción,Cantidad baños,Sup. Cubierta,Pileta
https://www.argenprop.com/casa-en-alquiler-en-olivos-vias-maipu-4-ambientes--13172118,rioja al 3000,,2,180  m² Cubierta,3 dormitorios,10 años,1 baño,4 ambientes,2 cocheras,,260  m² Terreno,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/local-en-alquiler-en-caballito--12463941,Cipriano Miro 400,,,,,50 años,2 baños,,,1 toilette,,No se encontraron expensas,Bueno,,,,200  m² Total,2 plantas,En edificio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-nunez-2-ambientes--14264585,Cabildo 2500,,550,45  m² Cubierta,1 dormitorio,,1 baño,2 ambientes,,,,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-alvear-3-ambientes--14398962,Rueda 3035,,,58  m² Cubierta,2 dormitorios,22 años,1 baño,3 ambientes,,,,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/local-en-alquiler-en-caballito-norte-1-ambiente--7827373,Av B Rivadavia 4900,,2,,,,,,,,,No se encontraron expensas,,,,,40  m² Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--12776468,Av. Libertador 6600,,960,71  m² Cubierta,3 dormitorios,,1 baño,4 ambientes,,1 toilettes,,+ $55.000 expensas,,,,,,,,43 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--14346277,Senillosa al al 500,,,36  m² Cubierta,1 dormitorio,,1 baño,2 ambientes,,,,+ $40.000 expensas,,,,,,,,40 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--14143802,Thames al 600,,600,60  m² Cubierta,1 dormitorio,,1 baño,2 ambientes,,,,No se encontraron expensas,,,,,,,,A Estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-3-ambientes--14424694,Aguilar al 2400,,900,50  m² Cubierta,2 dormitorios,,1 baño,3 ambientes,,,,No se encontraron expensas,,,,,,,,40 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-4-ambientes--13518738,Serrano al 300,,1,83  m² Cubierta,3 dormitorios,,2 baños,4 ambientes,1 cocheras,,,+ $45.000 expensas,,,,,,,,A Estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-nordelta-los-cabos-del-lago-8-ambientes--12716417,Cabos del Lago -,,14,630  m² Cubierta,4 dormitorios,5 años,6 baños,8 ambientes,8 cocheras,,1.200  m² Terreno,No se encontraron expensas,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-belgrano-7-ambientes--7115738,JURAMENTO 1200 CASA  400Mts 7AMB.- BELGRANO,,6,300  m² Cubierta,4 dormitorios,20 años,4 baños,7 ambientes,3 cocheras,,400  m² Terreno,No se encontraron expensas,,,Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-balvanera-5-ambientes--14355743,Sarmiento 2800,,,86  m² Cubierta,4 dormitorios,,3 baños,5 ambientes,,,,+ $30.000 expensas,Bueno,Contra Frente,,,,,,60 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-primera-junta-4-ambientes--14356292,San Luis 4500,,,,2 dormitorios,,1 baño,4 ambientes,1 cochera,1 toilette,382  m² Terreno,No se encontraron expensas,A Refaccionar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-beccar-libertador-rio-4-ambientes--14278242,"Presidente Uriburu 827, Béccar, Provincia de Buenos Aires, Argentina",,2,212  m² Cubierta,3 dormitorios,,2 baños,4 ambientes,2 cocheras,,,No se encontraron expensas,,,,,,,,A Estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--14426493,Malvinas Argentinas 51,,1,70  m² Cubierta,2 dormitorios,,2 baños,3 ambientes,1 cocheras,,,No se encontraron expensas,,,,,,,,A Estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-arroyito-9-ambientes--14395530,Santa Maria de Oro  al 300,,,206  m² Cubierta,3 dormitorios,45 años,2 baños,9 ambientes,2 cocheras,,220  m² Terreno,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-joaquin-gorina-4-ambientes--13655712,133 y 485 100,,1,160  m² Cubierta,3 dormitorios,26 años,2 baños,4 ambientes,3 cocheras,1 toilette,800  m² Terreno,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-centro--14395973,"CORDOBA   SAN MARTIN Y LURO 1600, Piso 4",,,41  m² Cubierta,1 dormitorio,,1 baño,,,1,,+ $12.000 expensas,Bueno,Frente,Norte,,,,,30 años,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/oficina-en-alquiler-en-caballito--12987905,Rojas 100,,,140  m² Cubierta,,,,,,,,+ $70.000 expensas,Muy Bueno,,,,,,,,,,,Comunes,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--12592823,Dr L Pasteur 700,,,44  m² Cubierta,,,1 baño,Monoambiente,,,,+ $10.500 expensas,Excelente,Frente,Este,,,,,A Estrenar,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,
